"specification","att","se","ci_lower","ci_upper","p_value"
"Main (Callaway-Sant'Anna)",-156,250,-646,334,0.53
"Sun-Abraham",-152,262,-666,362,0.56
"Two-Way Fixed Effects",-251,219,-680,178,0.25
"Excluding 2020",-97,282,-650,456,0.73
"Pre-COVID cohorts only",-244,430,-1086,598,0.57
"Excluding iGaming states",-233,251,-725,259,0.35
"Not-yet-treated controls",-190,240,-660,280,0.43
