year,treated_ever,n,mean_fi,se_fi,mean_vlfs
2022,FALSE,7288,0.1346074522205418,0.003998221077543239,0.04069847380723211
2022,TRUE,1942,0.11570247933884292,0.0072603593305984706,0.036673553719008316
2023,FALSE,7289,0.12971859986273163,0.003935743722887278,0.04296499656829096
2023,TRUE,1881,0.12240553485896752,0.007559075168370964,0.033528472591804054
2024,FALSE,7223,0.1395090833448895,0.0040770467906557474,0.0432672306198864
2024,TRUE,1891,0.1444444444444445,0.008086185276946094,0.040740740740740626
