Test,Coefficient,SE,Stars
Main (+ Controls),-0.0851143895308898,0.0218285115644429,***
Main (District x YQ FE),-0.0142642828764166,0.00302539214113079,***
Placebo: Very Low risk,-0.133149837305651,0.0335560363180422,***
Placebo: Low risk,-0.0328867172863897,0.0193902951140202,*
Broad flood zone (H+M+L),-0.0475508465902654,0.0166276076862111,***
High risk only,-0.166344158321145,0.035084584272172,***
Donut (excl 2016H1),-0.0872027701526246,0.0225277541287653,***
Extended (2005+),-0.100452200765581,0.0225776806106368,***
