quartile,estimate,se,n
Q1,0.021035526171883,0.0344694313464928,3238018
Q2,0.0199208553333318,0.00574370768799612,3245624
Q3,0.0187923450649067,0.00734510080657863,3270173
Q4,-0.059558842374946,0.028468246192462,3197416
