Group,N,Mean_Price,Median_Price,SD_Price,Pct_Detached,Pct_Semi,Pct_Terraced,Pct_Flat,Pct_Freehold,Pct_NewBuild
Full Sample,12951289,303395,233000,344326,25.1,28.2,27.8,18.9,76.2,10.8
"Flood Zone, Pre-2009",263318,263206,205000,220936,23.2,23.4,30.8,22.6,73.8,0
"Flood Zone, Post-2009",24481,247745,201995,173422,15.4,12.8,16.6,55.3,39.8,100
"No Flood Risk, Pre-2009",11287701,301101,228000,343633,24.1,29.2,29.3,17.4,77.5,0
"No Flood Risk, Post-2009",1375789,330902,274995,369093,33.6,21.3,15.2,29.8,66.3,100
