property_type,estimate,se,n
D,-0.00652290080517829,0.0237609475056471,3250322
S,-0.023304726116694,0.0239416579131615,3649398
T,-0.0913976895531752,0.0229274340795852,3599029
F,0.0425534722596477,0.037172904526126,2452484
