specification,ddd_coef,ddd_se,n_obs
District + YQ FE,0.0943898087735975,0.0248165336188255,12951268
Property controls,-0.0851143895308898,0.0218285115644429,12951268
District × YQ FE,-0.0142642828764166,0.00302539214113079,12951138
Postcode + YQ FE,-0.0183865389903472,0.00398388022662175,12853145
