bw_factor,bandwidth,estimate,se_robust,pvalue,n_effective
0.5,5.2139819864046535,0.3018814570228514,0.767050834580034,0.43697324828862094,70218
0.75,7.82097297960698,0.13404808373432076,0.7870091836325599,0.5908868744625804,103721
1,10.427963972809307,0.045692455558473455,0.8192707098285253,0.7152955824402145,135215
1.25,13.034954966011634,-0.043067109233064116,0.8290000612310318,0.7711621508981609,163422
1.5,15.64194595921396,-0.10746791004498846,0.8293126525471414,0.8279446858313471,188303
