reform_type,N (state-years),Mean Reading Score,SD Reading Score,Min,Max
Bundled Reform,40,216.6,6.2,204.4,228.3
Dyslexia-Only,240,219.6,6.5,203.8,232.9
Never Treated,220,220.8,5.6,202.1,236.8
