Specification,Estimate,SE,p-value
Main (Q1 cutoff),-0.85,(0.71),0.233
Median split,-0.08,(0.61),0.902
Tercile split,-0.17,(0.68),0.799
Extreme quartiles (Q1 vs Q4),-1.59,(1.03),0.129
