Outcome,Coefficient,SE,N,t_stat,p_value,stars
All Applications (BA),-0.01748550329758341,0.03547103701255002,6120,-0.4929515675393662,0.6220468092599962,
High-Propensity (HBA),-0.01737580783118678,0.03547512930136766,6120,-0.48980252287669307,0.624273645293195,
With Planned Wages (WBA),-0.017411145127328723,0.03545239628612243,6120,-0.49111335061275346,0.6233462794177234,
