Variable,Mean,SD,Min,Max
Business Applications,12710.13725490185,14219.91373101535,1702,83215
High-Propensity Applications,3813.043137254911,4265.9690341196065,511,24964
Applications w/ Planned Wages,3177.541176470575,3554.9748192665243,426,20804
Effective MW (Nominal $),8.168645424836601,1.424854899277848,7.25,14
Real MW (2020 $),8.668248325830229,1.3181796589985633,6.9958985831469045,13.850152905198776
Above Federal (%),44.80392156862745,49.73333811505018,0,100
