Specification,Estimate,SE,p_value,CI_low,CI_high,N,R2
Simple DiD,-0.028,0.058,0.63,-0.144,0.088,5638,0.42
Linear Distance,-0.031,0.062,0.62,-0.151,0.090,5638,0.43
Quadratic Distance,-0.035,0.068,0.60,-0.168,0.098,5638,0.44
Full DiDisc,-0.031,0.062,0.62,-0.151,0.090,5638,0.45
