Group,Mean monthly formations,SD monthly formations,Formation rate (per 1K),Construction formations,Professional formations,Working-age pop (1000s),N (LA × months),N (LAs)
Never treated,33.22093023255814,34.69350929927216,0.20092758696618548,3.937984496124031,5.015503875968992,167.42171317829443,1548,43
Treated,33.22116493656286,34.97502727480425,0.26811120636140146,3.7655709342560555,5.068339100346021,170.16688119953866,10404,289
