variable,mean,sd,min,max,n
merit_excl_new,222.91310344827585,12.5379741810093,172.1,261.6,290
cars_per_1000,530.1538413,63.176609523334164,271.688641,670.800451,290
rental_housing_pct,29.37253710689655,8.157771412628374,4.760311,55.77161,290
owner_housing_pct,57.699639537931034,14.025548399108098,1.129046,85.995728,290
coop_housing_pct,12.927823320689656,10.420275960215834,0,64.48942,290
teachers_qualified,85.96620689655172,5.50726755689288,69.7,98.4,290
student_teacher_ratio,11.858287717103448,1.1794360017187082,8.67298578,15.66726944,290
