model,n,r_squared,car_coef,rental_coef,teacher_coef
(1) Bivariate,580,0.15325627993987045,-0.08105708453312685,NA,NA
(2) + Housing,580,0.19563276508992333,-0.0958421207199557,-0.34938247605985295,NA
(3) + Teachers,580,0.1964102056438048,-0.09652799879089437,-0.34471735178741564,0.05935811069827756
(4) + County FE,580,0.2919236333265877,-0.07906287569503645,-0.24630468280395448,0.1342324790110742
(5) Full,580,0.3119240660032151,-0.07734777425433627,-0.2292327267752305,0.2282246124746047
