Border Pair,Legal State,Illegal State,N (Legal),N (Illegal),% THC (Legal),% THC (Illegal),Difference
Colorado-Wyoming,CO,WY,1133,220,27.1,12.7,14.400000000000002
Washington-Idaho,WA,ID,998,416,24.6,12.5,12.100000000000001
Oregon-Idaho,OR,ID,899,416,6.1,12.5,-6.4
Nevada-Utah,NV,UT,581,461,27.5,15.6,11.9
California-Arizona,CA,AZ,6912,1753,20.4,7.8,12.599999999999998
