"state_name","emp_rate_post_1","emp_rate_post_0","n_post_1","n_post_0","pre_post_change","did_effect"
"California",0.545816728112977,NA,60025,NA,NA,NA
"New Jersey",0.641170209756581,0.569619381925804,10843,3836,0.071550827830777,0.0206628547089589
"New York",0.65729859526304,0.579031035709181,7097,22470,0.0782675595538586,0.0273795864320404
"Rhode Island",0.702464836629758,0.669909564264182,643,843,0.0325552723655755,-0.0183327007562426
"Washington",0.616266991825859,0.53145714870078,1420,9967,0.0848098431250789,0.0339218700032607
