"treated","n_states","n_state_years","mean_opioid_rate","sd_opioid_rate","mean_opioid_share","sd_opioid_share","mean_la_share","sd_la_share","mean_prescribers","mean_opioid_prescribers","mean_prescriber_share"
"Never Treated",15,165,5.14866666666667,1.10812549551986,0.0514831363555733,0.0110766284672667,0.135599698578545,0.0330009084844622,22076.9454545455,15122.2363636364,0.705943445544604
"Treated",30,105,6.02838095238095,1.10545598302372,0.0602880810448455,0.0110573834864578,0.135116492247916,0.0330579904178739,21241.6666666667,16079.580952381,0.771583793222106
