"Specification","Coefficient","SE"
"Main (CS-DiD, 2014+ cohorts)",-0.0703333333333333,0.101686744159904
"All cohorts (including 2012-2013)",-0.0659348148148147,0.087380626033799
"Sun-Abraham estimator",-0.0560357908758019,0.134722973848474
"TWFE (no CS correction)",-0.0627353189098062,0.0862547562406638
"Excluding co-policy states",-0.0627353189098062,0.0862547562406638
"Placebo: log(total prescribers)",0.0105519747054859,0.00937111553359474
"Placebo: log(total claims)",0.0126807105924549,0.0119721757118746
