city,YEAR,n,mean_age,pct_female,pct_literate,pct_foreign,mean_occscore
San Francisco,1900,340874,29.6,46.5,81.5,34.6,24.9
San Francisco,1910,418926,30.4,43.0,84.9,34.4,24.7
Los Angeles,1900,171764,30.2,49.2,79.4,18.3,23.7
Los Angeles,1910,504203,31.5,48.7,83.5,19.7,24.6
Seattle,1900,113299,28.4,36.7,81.6,28.7,24.0
Seattle,1910,284489,29.0,42.1,83.8,29.5,24.8
