"Specification","Estimate","SE","pvalue","Bandwidth","N"
"Baseline","0.092","(0.059)","0.127","35.6",1446
"Quadratic","0.111","(0.083)","0.173","48.7",2093
"0.5x BW","0.120","(0.085)","0.158","17.8",562
"1.5x BW","0.069","(0.049)","0.163","53.3",2275
"2x BW","0.040","(0.042)","0.347","71.1",2888
