model,coefficient,se,n_obs,t_stat
A1: XS (dept+year),-5.16985550919724e-05,0.000434827013074396,5426867,-0.118894534004324
A2: XS (dept×year),-5.22283523562694e-05,0.000434673377520385,5426867,-0.120155397264513
A3: XS + TFB control,-0.0007812937619215,0.000479154355812433,5426867,-1.63056800474405
B1: Panel ES,,,5426867,
B3: Panel trend,-1.37987249110432e-05,5.12128613621847e-05,5426867,-0.269438663336084
