year,N,Mean_Price_m2,Median_Price_m2,SD_Price_m2,Pct_Apartment,Mean_Surface
2020,644798,3098,2250,3128,37.5,87.2
2021,1315857,3298,2409,3270,39,86.6
2022,1244651,3540,2618,3410,40.8,84.6
2023,976794,3520,2595,3435,41.3,83.2
2024,881805,3369,2500,3271,40,83.8
2025,362962,3398,2560,3199,41.7,83.6
