Estimate,Std. Error,t value,Pr(>|t|),term
-0.000130365603741533,8.09079962966372e-05,-1.61128206986571,0.110581521111388,rel_year::1:treatment_intensity
-6.84486160414247e-05,0.000137204703522665,-0.498879515672854,0.619068100245962,rel_year::2:treatment_intensity
-0.000186041668210487,0.000188384223453891,-0.987565013670172,0.325984313228395,rel_year::3:treatment_intensity
-8.94367197216807e-05,0.000226135112952486,-0.395501249469703,0.693398657760524,rel_year::4:treatment_intensity
-0.000106735222912913,0.000220515779998328,-0.484025328771128,0.629530712744134,rel_year::5:treatment_intensity
-0.0768252185801838,0.0262948535712806,-2.92168269246774,0.00439032118645709,is_apartment
-0.329978368489102,0.0147036734300795,-22.4418999822221,7.31664156430659e-39,log(surface_reelle_bati)
