Estimator,Power,SE,MDE,MDE_pct
TWFE,80%,1.9626203575055465,5.49533700101553,22.956298099821563
TWFE,90%,1.9626203575055465,6.358889958317971,26.56371637265067
CS-DiD,80%,1.259887860645532,3.527686009807489,14.7366051670253
