border_pair,estimate,se,ci_lower,ci_upper,n
POOLED (all borders),-2.7250604233490137,1.104186492228778,-4.889226180333035,-0.5608946663649932,2108
AG-ZH/SO,-4.505871758625567,2.8142143626251204,-10.021630554146144,1.0098870368950106,463
GR-SG/GL,10.544572094281435,3.876823125629057,2.9461383936164847,18.143005794946383,178
BE-multiple,-6.245127237429891,2.5422849187752297,-11.227914116668675,-1.2623403581911061,602
