Specification,Estimate,SE,N,t-stat,Significant
German-speaking only,-1.798730120812434,1.9444871583001155,1354,-0.9250408844997962,No
Exclude Basel,-2.160733869528358,2.0672089949618124,2030,-1.0452420992722478,No
Population weighted,-1.037465867423173,2.6401990501620762,2120,-0.3929498676849706,No
Rural gemeinden only,-1.6786930774949504,2.000696619547278,1897,-0.8390542879383726,No
Urban gemeinden only,3.365966754416926,1.2988270951573704,223,2.5915433755322868,Yes
