specification,estimate,se,n,pvalue,ci_lower,ci_upper
Basic (Mun + Ref FE),-1.5294796994496682,1.5500820138708673,5259,0.323785371857571,-4.5676404466365685,1.5086810477372317
Border-Pair FE,-4.653948265529581,1.7576905488198966,5259,0.008102627088109136,-8.099021741216578,-1.208874789842584
Distance Controls,-2.488894960296525,1.5274900450583793,5259,0.1032279975003275,-5.482775448610949,0.5049855280178983
Same-Language Only,NA,NA,NA,NA,NA,NA
