Specification,Estimate,SE,N,t-stat,p-value
Raw,-9.631460287440797,3.321038117197486,2120,-2.9001354237898562,0.0037684515151470022
+ Language,-1.7987301208124256,1.930760010603897,2120,-0.9316176588149992,0.3516403318308915
+ Turnout,-1.489304951316331,1.9133502674619272,2120,-0.7783754896545444,0.4364346296988062
Language FE,-1.7987301208121675,1.93076001060391,2120,-0.9316176588148593,0.3516403318309639
