outcome,rd_est,se,pval
Male Non-Ag Share (2011),-0.0000480741580427546,0.00757284450093665,0.994934879378921
Change in Male Non-Ag Share,-0.00138263445198308,0.0034122099990001,0.685329005716184
Male LFPR (2011),-0.000942112595679667,0.00535852619023749,0.860438799086443
Change in Male LFPR,0.0017455582885304,0.00260151155432491,0.502234233952548
