kernel,rd_est,se,pval
triangular,0.000462704477647125,0.00798502845813983,0.953791241076177
uniform,-0.000774954567326264,0.00790343950839879,0.921890347506775
epanechnikov,-0.000501947423882348,0.00789669278526602,0.949317191508832
