cutoff,rd_est,se,pval,n_eff
500,0.000462704477647125,0.00798502845813983,0.953791241076177,176319
400,-0.000026360879614884,0.00806139594729827,0.997390910766909,217073
450,0.00134161948885136,0.00810386085095457,0.868508638905872,196230
550,0.00646339100604898,0.00807922326178043,0.423709908171622,171933
600,0.00287017543436988,0.00818172715640474,0.725736054443649,215800
