poly_order,rd_est,se,pval,bw
1,0.000462704477647125,0.00798502845813983,0.953791241076177,253.656794789547
2,0.00374490563538166,0.00833851835974075,0.653352855912176,216.07984942012
3,0.00494330972414678,0.00848454749061206,0.560145752760689,298.317485819259
