donut,rd_est,se,pval,n_eff
0,0.000462704477647125,0.00798502845813983,0.953791241076177,176319
5,-0.00206840876580097,0.00806054587778945,0.797480612372593,179162
10,-0.00553483441049049,0.00818403901567767,0.498852610853498,172239
25,-0.0130327658478517,0.00869340764858741,0.133833416942518,142080
50,-0.00974515413914673,0.0132291478855102,0.461339710375751,80523
