multiplier,bandwidth,rd_est,se,pval,n_eff
0.5,126.828397394773,0.00764772022771504,0.00854329431295245,0.370695001715655,89269
0.75,190.24259609216,0.00174621806795086,0.00803431815569332,0.827939568950021,133501
1,253.656794789547,0.0000727789697557157,0.00783779279254128,0.99259123284052,176319
1.25,317.070993486933,-0.00117889088605963,0.00772261838985638,0.878670903450808,218539
1.5,380.48519218432,-0.0013629440828849,0.00767122913329262,0.858982474226298,258269
2,507.313589579093,-0.0000833511237326168,0.00760156863810938,0.991251379117926,325595
