Specification,ATT,SE,p-value,95% CI,ATT (pp),Significant
Callaway-Sant'Anna (not-yet-treated),5.729166666666946e-4,0.02712055256125741,0.9831460894756594,"[-0.0526, 0.0537]",0.06,
Callaway-Sant'Anna (never-treated),-0.008249999999999957,0.025528556949893394,0.7465683905455751,"[-0.0583, 0.0418]",-0.82,
