border_segment,estimate,se,pvalue,ci_lower,ci_upper,bandwidth,n,same_language
POOLED (all),-2.7250604233490137,1.104186492228778,0.013589501676977417,-4.889226180333035,-0.5608946663649932,11.861611929080771,2108,NA
SAME-LANGUAGE (primary),-1.4042546189786833,1.5252547829596386,0.357223326282596,-4.39369906082703,1.5851898228696641,7.538623617073383,866,TRUE
AG_borders,-4.537745793770725,2.7741788069369577,0.10190076525834085,-9.975036342041456,0.8995447545000061,3.6959578370646526,548,TRUE
GR_german,10.544572094281435,3.876823125629057,0.006530161674599392,2.9461383936164847,18.143005794946383,19.17264185168479,178,TRUE
BE_french,-9.088736533406568,2.5990124602287477,4.7052864584496595e-4,-14.182707350825751,-3.994765715987384,10.400051570995007,773,FALSE
BE_german,NA,NA,NA,NA,NA,NA,54,TRUE
BL_borders,NA,NA,NA,NA,NA,NA,86,TRUE
GR_italian,NA,NA,NA,NA,NA,NA,99,FALSE
