Outcome,Recipient,Non-Recipient,Spillover Ratio
Consumption,293 (62),245 (78),84%
Assets,174 (36),52 (28),30%
Wage earnings,182 (54),95 (43),52%
Enterprise profits,48 (32),65 (38),135%
Enterprise revenue,348 (89),231 (72),66%
