Assumption,MVPF,Change (%)
Baseline,0.88,+0.0%
VAT coverage 25%,0.87,-1.1%
VAT coverage 100%,0.90,+2.3%
Informality 90%,0.87,-0.4%
Informality 60%,0.88,+0.8%
Discount rate 3%,0.88,+0.1%
Discount rate 10%,0.87,-0.2%
