Component,Point Estimate,SE,95% CI
WTP (direct),$850.00,$18.92,"[814.3, 885.0]"
FE (VAT),$21.67,$5.98,"[11.0, 34.2]"
FE (income tax),$8.14,$2.73,"[0.8, 11.5]"
Net cost,$970.19,$6.50,"[959.8, 984.9]"
WTP (spillover),$79.00,$25.28,"[29.5, 128.2]"
