WTP Multiplier,Interpretation,MVPF (Direct),MVPF (Total)
0.8,Fungibility / discounting,0.701,0.766
0.9,Fungibility / discounting,0.789,0.862
1.0,Baseline (WTP = transfer),0.876,0.958
1.1,Credit constraints / high returns,0.964,1.053
1.2,Credit constraints / high returns,1.051,1.149
