Specification,SE,MDE_80,MDE_90,MDE_80_pct,MDE_90_pct
Main (Callaway-Sant'Anna),0.014,0.03922219305358155,0.04538121770118516,3.9%,4.5%
TWFE,0.016,0.044825363489807486,0.051864248801354464,4.5%,5.2%
Male ATT,0.016,0.044825363489807486,0.051864248801354464,4.5%,5.2%
Female ATT,0.01,0.028015852181129678,0.03241515550084654,2.8%,3.2%
Gender Differential,0.019,0.05323011914414639,0.061588795451608426,5.3%,6.2%
Border (change),0.025,0.0700396304528242,0.08103788875211636,7.0%,8.1%
