Specification,Estimate,SE,N
Main (LA+Year FE),0.025,(0.068),518
LOOR range,"[0.011, 0.066]","",""
RI p-value,0.331,"",""
Binary (Q1),0.020,(0.019),518
Log specification,0.004,(0.085),518
