Spec,Coef,SE,N
(1) OLS,-0.582***,(0.103),519
(2) Year FE,-0.597***,(0.106),519
(3) LA+Year FE,0.025,(0.068),518
(4) Weighted,-0.059,(0.059),518
(5) Att. 8,1.629**,(0.673),518
