event_time,estimate,se,ci_lower,ci_upper
-4,79.4304182453671,12.446953039549502,55.03439028785007,103.82644620288411
-3,-15.74150185570602,12.440444863731678,-40.124773788620104,8.641770077208069
-2,55.366936625517795,13.182778083418357,29.528691582017814,81.20518166901778
-1,0,NA,NA,NA
0,-57.222983249569516,14.252081940594353,-85.15706385313445,-29.288902646004583
1,-56.45847740129797,14.561014672016674,-84.99806615845065,-27.91888864414529
2,42.3098961461149,15.590543351351233,11.752431177466487,72.86736111476331
3,-43.71587728571202,13.308972775243022,-69.80146392518834,-17.630290646235697
4,-56.27869009273861,17.725077360172698,-91.0198417186771,-21.53753846680012
