Border Pair,Legal State,Illegal State,N (Legal),N (Illegal),% THC (Legal),% THC (Illegal),Difference
Colorado-Wyoming,CO,WY,4471,905,21.2,10.2,11
Washington-Idaho,WA,ID,4071,1676,17.4,8.4,8.999999999999998
Oregon-Idaho,OR,ID,3564,1676,4.6,8.4,-3.8000000000000007
Nevada-Utah,NV,UT,2312,1863,22,11.6,10.4
California-Arizona,CA,AZ,27724,7019,15.6,5.8,9.8
