state_abbr,Total Crashes,Geocoded (%),Drug Test (%),Alcohol Test (%),Hour Known (%)
AK,1267,100,100,98.1,96.7
AZ,20499,100,100,99.1,98.3
CA,83282,100,100,99.8,98.4
CO,13052,100,100,95,99.8
ID,5305,100,100,99.5,98.3
KS,8869,100,100,98.8,98.9
MT,4624,100,100,97.3,98.9
NE,5255,100,100,99,94.5
NM,8639,100,100,99.8,99.9
NV,7102,100,100,99.5,99.8
OR,10051,100,100,96.6,96.9
UT,4842,100,100,98.9,99.3
WA,10792,100,100,98.8,99.6
WY,3070,100,100,99.6,99.1
