Method,Estimate,SE,CI_Lower,CI_Upper,P_Value
TWFE (baseline),-8.456720417108084,9.862061328087364,-27.786360620159318,10.87291978594315,0.3993145654410911
Callaway-Sant'Anna,NA,NA,NA,NA,NA
Synthetic Control (avg across states),NA,NA,NA,NA,NA
Permutation Inference,-8.456720417108084,11.25683124354924,-16.641761221703476,28.432126782352043,0.4174174174174174
Wild Cluster Bootstrap,-8.456720417108084,NA,NA,NA,NA
