outcome,estimate,se,pvalue,n
Energy Strategy 2050,-1.1662016476717127,1.0975329238675675,0.28797861465461094,2108
Immigration 2014,0.5027491107486526,1.0900599675796903,0.6446462676474345,2108
Healthcare 2014,1.6541076312926073,0.6099173475470717,0.006687469455415291,2108
Service Public 2016,1.3908494971674017,0.7090167725279709,0.04980213840696437,2108
