specification,estimate,se,n
German-speaking only,-1.798730120812434,1.9444871583001155,1354
Exclude Basel,-2.160733869528358,2.0672089949618124,2030
Population weighted,-1.037465867423173,2.6401990501620762,2120
Rural only,-1.6786930774949504,2.000696619547278,1897
Urban only,3.365966754416926,1.2988270951573704,223
