event_time,att,se,ci_lower,ci_upper
-16,0.13749711531496384,1.5432343406991111,-2.8872421924552936,3.1622364230852216
-13,-2.931270506966439,2.3876811820059203,-7.611125623698043,1.7485846097651647
-12,-2.686759136444146,1.529483226882973,-5.6845462611347735,0.3110279882464808
-11,10.600225478332243,1.5132454285699455,7.6342644383351494,13.566186518329337
-10,0,NA,NA,NA
-9,0,NA,NA,NA
-8,0,NA,NA,NA
0,0.29550227983620503,1.5811039796554902,-2.8034615202885558,3.3944660799609654
1,-9.291158855670101,1.4054717614409584,-12.04588350809438,-6.536434203245823
3,-9.586234996331077,1.630762266313407,-12.782529038305356,-6.3899409543568
4,-9.577376438901549,1.729384299531569,-12.966969665983424,-6.187783211819674
5,-3.2329469590932387,4.108584519078874,-11.285772616487831,4.819878698301354
6,4.2588444313489395,1.5185683619359711,1.282450441954436,7.235238420743443
