covariate,estimate,se,pvalue
log_pop,-0.15738643465530533,0.12399356765701161,0.2043300631343621
urban,-0.0017226625111572275,0.032623377617197004,0.9578876426179886
turnout,-2.446298676857623,0.801798500729245,0.002280697260315001
