bandwidth,estimate,se,ci_lower,ci_upper,n
2,-2.5059133698989697,2.0199335358990633,-6.464910351425777,1.4530836116278372,2108
2.5,-1.6261396357183955,1.77830157895308,-5.111546684117142,1.8592674126803517,2108
3,-1.1170026173081666,1.6390894140410004,-4.329558836269387,2.095553601653054,2108
3.5,-0.8692199693475828,1.511438874164362,-3.8315857275434984,2.0931457888483327,2108
4,-0.7008107019812329,1.427354352057569,-3.4983738251905723,2.0967524212281066,2108
4.5,-0.572276287384824,1.3644392509275,-3.246528078295533,2.101975503525885,2108
5,-0.6744593538840249,1.3127126547932957,-3.2473288793288444,1.8984101715607946,2108
5.5,-0.8788191914244123,1.2509776103888202,-3.3306902532524787,1.573051870403654,2108
6,-0.9209639020263012,1.2022490991106272,-3.2773288367288553,1.435401032676253,2108
6.5,-0.9323767990210001,1.1683247920329076,-3.222251313650747,1.3574977156087469,2108
7,-1.0000231096179846,1.1470647914237944,-3.24822878874257,1.248182569506601,2108
7.5,-1.0617171713275013,1.126401684432284,-3.2694239049400284,1.1459895622850258,2108
8,-1.0887164871704087,1.113622380677714,-3.271376245676481,1.0939432713356636,2108
8.5,-1.1489104577008717,1.1003539207090023,-3.305564512537958,1.0077435971362143,2108
9,-1.2803268022839163,1.0844034925869173,-3.405718592463721,0.8450649878958885,2108
9.5,-1.439714119157955,1.0707925089454853,-3.538428871606389,0.659000633290479,2108
10,-1.6011767605462879,1.0544812582567262,-3.66792204910195,0.4655685280093742,2108
10.5,-1.7271045812389971,1.0393282204607983,-3.7641504614582666,0.30994129898027234,2108
11,-1.8366639039110098,1.0262241959763976,-3.8480263680883224,0.17469856026630293,2108
11.5,-1.9576728124876652,1.013309176113185,-3.9437223028734616,0.028376677898131364,2108
12,-2.0468571816566765,1.0013758958018528,-4.0095178724148415,-0.08419649089851178,2108
12.5,-2.108791755755931,0.9908000872003113,-4.050724242547686,-0.16685926896417635,2108
13,-2.1723501430139223,0.9809068262306738,-4.0948921946155314,-0.24980809141231308,2108
13.5,-2.264796495946328,0.970789410029669,-4.167508776177366,-0.36208421571529037,2108
14,-2.343529027612689,0.9614156986227503,-4.227869171084694,-0.4591888841406844,2108
14.5,-2.406069497500674,0.9523979343754133,-4.272735147826825,-0.5394038471745226,2108
15,-2.4815027927392492,0.944556656570499,-4.332799820974995,-0.6302057645035031,2108
