year,treated,mean_yes,se,group
2000,FALSE,28.418633332492863,0.8795800705824447,Control Cantons
2000,TRUE,34.4588911691994,2.8122280768302943,Treated Cantons
2003,FALSE,72.4463967239445,1.3362121573595938,Control Cantons
2003,TRUE,76.47634527998441,1.7386330051647463,Treated Cantons
2016,FALSE,43.627107044892696,1.7632014612727813,Control Cantons
2016,TRUE,47.18459840638323,3.9505994126546886,Treated Cantons
2017,FALSE,56.597557338319675,1.8416924725709936,Control Cantons
2017,TRUE,55.90126624516007,2.642692247927915,Treated Cantons
