specification,estimate,se,pvalue,ci_lower,ci_upper,bandwidth,n_left,n_right
1. Pooled (MSE-optimal),-1.1662016476717127,1.0975329238675675,0.28797861465461094,-3.3173266502990852,0.9849233549556597,8.589802599950596,230,738
2. Same-language borders,-1.5995846028656544,1.1789116714854229,0.17483472614956289,-3.9102090199309982,0.7110398141996894,9.14311047139806,152,570
3. Half bandwidth,-0.5800208363630901,1.3908102922508965,0.6766505638184324,-3.305958918502473,2.145917245776293,4.294901299975298,127,597
4. Double bandwidth,-2.8904544315128575,0.9104684498944551,0.0014999702441693091,-4.674939802366,-1.1059690606597155,17.179605199901193,457,859
5. Local quadratic,-1.01077779875979,1.1460123110750122,0.3777791947756807,-3.256920654306326,1.2353650567867462,17.166870153932788,457,859
