group,time,att,se,ci_lower,ci_upper
2011,2000,10.600225478332243,1.4598481505663403,7.738923103222216,13.46152785344227
2011,2003,0,NA,NA,NA
2011,2016,2.557531286178438,1.5566067720608026,-0.4934179870607349,5.608480559417611
2011,2017,4.2588444313489395,1.4433678971393387,1.4298433529558356,7.087845509742044
2012,2000,-2.686759136444146,1.4598481505663408,-5.548061511554174,0.17454323866588162
2012,2003,0,NA,NA,NA
2012,2016,-8.215516377210832,1.5566067720608046,-11.266465650450009,-5.164567103971656
2012,2017,-9.023425204364916,1.4433678971393247,-11.852426282757992,-6.194424125971839
2013,2000,-5.862541013932878,1.4598481505663388,-8.723843389042901,-3.0012386388228545
2013,2003,0,NA,NA,NA
2013,2016,-9.586234996331077,1.5566067720608103,-12.637184269570266,-6.535285723091889
2013,2017,-10.939236500592264,1.4433678971393324,-13.768237578985355,-8.110235422199173
2016,2000,0.13749711531496384,1.4598481505663408,-2.7238052597950637,2.9987994904249917
2016,2003,0,NA,NA,NA
2016,2016,0.29550227983620503,1.5566067720608043,-2.7554469934029715,3.346451553075381
2016,2017,-9.291158855670101,1.4433678971393322,-12.120159934063192,-6.46215777727701
