donut_km,estimate,se,ci_lower,ci_upper,n
0,-4.334468210725184,1.305758363225079,-6.893707575158309,-1.7752288462920598,1698
0.5,-3.3547413870263583,1.5385474058915054,-6.370238891081236,-0.33924388297148056,1668
1,-4.820854001093778,1.790397163745344,-8.329967960057314,-1.3117400421302432,1632
1.5,-7.786029655405024,1.9013850398305012,-11.512675854216061,-4.059383456593986,1581
2,-6.863709324773268,2.5638812396045845,-11.888824215036161,-1.8385944345103749,1544
