type,original_estimate,ri_pvalue,n_permutations,perm_mean,perm_sd
Stratified (German only),-1.7987301208121675,0.531,1000,0.2286358154787484,2.764588060727377
Unstratified (all cantons),-1.7987301208121675,0.576,1000,0.17621665740697762,2.9626365439090003
