spec,estimate,se,ci_lower,ci_upper,bw,n_left,n_right,pvalue
1. MSE-optimal,-2.052457432890975,1.7492522870293756,-5.480928915342871,1.3760140495609212,7.180557055925742,186,208,0.24066183556410906
2. Half bandwidth,-3.2946969104476764,2.8107885901712875,-8.803741315339511,2.2143474944441595,3.590278527962871,106,122,0.2411324022297015
3. Double bandwidth,-2.9393712835365875,1.2413111740165437,-5.372296478216144,-0.506446088857031,14.361114111851483,375,322,0.017886622406363326
4. Local quadratic,-1.1914023479836118,2.85806931484358,-6.793115270396095,4.4103105744288715,8.067336689997912,205,226,0.6767839931675905
5. Fixed 10km,-2.6983716012881516,1.4578274460959442,-5.555660891310208,0.15891768873390522,10,253,262,0.06417616531114483
