kernel,coef,se,p_value,bw
triangular,-1.08586213331706,0.733393254217076,0.13871316589151,32.913783677106
epanechnikov,-1.21641090771275,0.747509337060359,0.10367653214641,28.8129741577535
uniform,-1.22898223790263,0.715951174312231,0.0860572747451939,24.7662334777657
