category,coef,se,p_value,n_eff
cs.AI,-1.08586213331706,0.733393254217076,0.13871316589151,86
cs.CL,-7.53603707724265,4.80424014659713,0.116736029024884,5
cs.LG,-4.90014810129739,36.871739778385,0.894274742991877,14
stat.ML,-0.929077153359914,1.56773325051929,0.553432470632436,17
