outcome,coef_conv,se_conv,p_conv,coef_bc,se_bc,p_bc,coef_robust,se_robust,p_robust,ci_robust_lower,ci_robust_upper,bw_h,bw_b,n_eff_left,n_eff_right,n_eff_total
ln_cited_by_count,-1.0598711581354,0.703182070478318,0.131746594865631,-1.020040641039,0.703182070478318,0.14688940133161,-1.020040641039,0.867183580273297,0.239487639731175,-2.71968922635916,0.679607944281158,31.7122149410327,56.9285513092505,54,30,84
ln_cite_1y,-0.623422890374048,0.434257630267586,0.151114466257214,-0.61643233330976,0.434257630267586,0.155750863498003,-0.61643233330976,0.527674852128034,0.242724135581136,-1.65065603902821,0.417791372408686,38.0207196200964,67.5977769471918,58,32,90
ln_cite_3y,-1.10362328063384,0.59636439438326,0.064229212222758,-1.08586213331706,0.59636439438326,0.0686367941154075,-1.08586213331706,0.733393254217076,0.13871316589151,-2.52328649808715,0.351562231453041,32.913783677106,58.1126620091752,55,31,86
ln_cite_5y,-0.958269796460389,0.649492367347024,0.140101412418919,-0.919633948723734,0.649492367347024,0.15679680239784,-0.919633948723734,0.799514829404202,0.250045029660934,-2.48665421946166,0.647386322014188,32.9541912293227,58.1339689310245,55,31,86
cited_by_count,-18.9914658540888,9.96439206429754,0.0566588703382168,-22.0916081001623,9.96439206429754,0.0266193137884465,-22.0916081001623,13.5405837642559,0.102782591429657,-48.6306646077517,4.44744840742712,36.1437774472441,73.8516759988674,57,32,89
cite_1y,-1.60897135410831,1.58414646444881,0.309786163284461,-2.13007161840595,1.58414646444881,0.178748674862075,-2.13007161840595,1.96665215903994,0.278766145646162,-5.98463902024217,1.72449578343027,28.1060707886002,52.6888361933448,52,27,79
cite_3y,-2.55302031564585,2.39129077782502,0.285686210938251,-3.54559563073806,2.39129077782502,0.138150934006193,-3.54559563073806,3.03506888151653,0.242722358407479,-9.49422132910872,2.4030300676326,49.0964504557419,81.3802926116371,68,41,109
cite_5y,-3.24521244546339,3.54068545679981,0.359378911356599,-5.10013552780058,3.54068545679981,0.149743706890994,-5.10013552780058,4.4061287158998,0.247064289814919,-13.7359891222119,3.53571806661074,48.4662394796316,83.7726261245637,67,41,108
