"Model","Specification","Coefficient","SE","N","States"
"(1)","Acute Crisis","-0.1602","(0.1199)",3492,13
"(2)","Post-Deadline","0.0912","(0.0974)",3492,13
"(3)","With Conflict","-0.1505","(0.1239)",3492,13
"(4)","Announcement + Crisis","-0.2216","(0.1488)",3492,13
